web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549822617-984","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","guru kumar","BUY IT. IF YOU ARE A DOER. OTHERWISE IT WILL BE A WASTE.","10 May 2018","Book convinces you to be focus.. and lot of facts to support the argument.. but if you are someone who just have read lot of self help book.. but not even taken a single step to reach your goal.. then this book is not for you.. and i guess that is the case any book is not for you.. but if you are SOMEONE WHO TAKES ATLEAST 1 STEP TO REACH TO YOUR GOAL.. i believe it will help to stay focus or may be fasten your progess.. but it and do it.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549822989-1268","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Just read it","16 January 2018","Book for those you willing to help themself in prioritising things","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews"
"1549822838-1152","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","vinay prasad b r","Very good book","17 September 2016","Phenomenal case studies represented about great personalities. Must read","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews"
"1549822896-1206","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","akshat","... to the point very quikcly and wander off quite easily","14 July 2016","writer does not get to the point very quikcly and wander off quite easily","4.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews"
"1549822767-1095","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Pran D.","Great book!","21 February 2017","Great book. If you are in creative field, Cal does give good tips.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1549822905-1229","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","bharath.k","Good book in the wrong age","6 October 2016","The book is all about ""deep work"" and how successful people did it. Every page in the first half of the book has about 10 words ""deep work"". It doesn't apply to each person. Staying disconnected is not as easy to follow as the author states. It's not easy to ""deep work"" for hours together like a few gifted people as the author quotes. What should have been a one good page of essay has turned out to be a Tiring book.","1.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews"
"1549822896-1211","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jason Braganza","Must buy.","24 August 2017","I bought the paperback.
The cover is thick and glossy.
The pages are the sort of thin ink permeating brown I had in my pulp fiction novels as a kid.
I’m sure they’ll fray soon.
(Update: the pages are so porous, the ink from my pen seeps through)

The advice though … is invaluable.

Buy!","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews"
"1549822609-979","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Ramana","Life changing","30 August 2017","This book is designed for knowledge workers who are looking to create meaningful work. It's hard to get to and stay in a state of intense focus and the book does a wonderful job on giving tips you can use in producing great work. Newport is one of the most accessible and practical thinkers of our day. I highly recommend his other book, So Good They Can't Ignore You also.","5.0 out of 5 stars","",""
"1549822887-1193","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Abhay","Skip part 1","26 September 2018","If you have watched the summary of this book on YouTube and then buying it considered skipping  part- 1","4.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1549822609-981","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Anmol Sarma","Self-control for the internet age","9 September 2018","The subtitle, Rules for Focused Success in a Distracted World is a definite oversell. It starts off decently. The premise of modern work environments that prioritize superficial and immediate metrics over creating actual value is spot on, as is the description of viral social media platforms stealing our attention and our ability to focus. The meat of the book though, the rules are the usual self-help claptrap full of anecdotes with a dash of survivorship bias. Nevertheless, the initial part of the book makes for good reading. Some might even find the rules useful. Would recommend.","4.0 out of 5 stars","",""
"1549822838-1143","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Premja","Loved this book","19 January 2019","Detailed and practical","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews"
"1549822609-982","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Dipanshu Rawal","Amazing read on productivity","30 January 2019","Deep work refers to distraction-free, high concentration work that improves your skills- creates a lot of value in little time, and is very hard to replicate.

The 4 rules of Deep Work
Rule #1: Work Deeply
Rule #2: Embrace Boredom
Rule #3: Quit Social Media/Distractions
Rule #4: Drain the Shallows
Other Important takeaways from the book
Focusing on one important task at a time- that’ll advance your position is true and pure deep work.
Deep work is a skill that allows you to quickly master complicated information and produce better results in less time.
You lose the sense of time when you’re working on engaging things.
Deep work leads to quick happiness and advances.
If you don’t produce, you won’t thrive- no matter how skilled or talented you are.
When you switch from some Task A to another Task B, your attention doesn’t immediately follow—a residue of your attention remains stuck thinking about the original task. This residue gets especially thick if your work on Task A was unbounded and of low intensity, before you switched, but even if you finish Task A before moving on, your attention remains divided for a while
Clarity about what matters provides clarity about what does not.
Deep work training must involve two goals: improving your ability to concentrate intensely and overcoming your desire for distraction.
We spend much of our day on autopilot—not giving much thought to what we’re doing with our time.
The differences between expert performers and normal adults reflect a life-long period of deliberate effort to improve performance in a specific domain.","4.0 out of 5 stars","",""
"1549822855-1167","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Sevti c.","Helping me","4 December 2018","Helpful","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
"1549822945-1256","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","ajaymishra","Go for it!","7 October 2016","This book is quite valuable.  It draws our attention from shallow work to detailed deep work. This book also tells us how modern technology has distracted us from doing master work piece! Hats off to author!  Done a wonderful job.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews"
"1549822905-1230","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Indyarocks","Book just throw light on research and culture","10 June 2017","Not what I expected. The book only talks about people and companies who follow and don't follow deep work. Nothing concrete. Losing interest after reading first few chapters. No story line, no proper methodology. A huge disappointment after reading The power of  Habits.","1.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews"
"1549822785-1114","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Need success.read it","21 December 2018","Very good book. Must  for every student.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1549822866-1183","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Nikhil","Complete waste of time and money.","3 February 2018","Complete waste of time and money. Common knowledge wrapped with big names and so-called research. Worst purchase till date.","1.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1549822848-1156","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Anil Shree","Intereting","13 November 2018","One must have","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews"
"1549822905-1225","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Abhijith","Improving the abilities","23 December 2018","It's a good book to improve your inner abilities. It's approximately a great book and it has a fantastic cover page.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews"
"1549822855-1166","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Saketh","Nice","14 January 2019","Nice one","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
"1549822746-1092","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Good for starters learning work efficiency","28 September 2018","It is a very easy to read book. The message is very simple but that's what makes it very important. It is research backed and makes sense.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1549822696-1054","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Programming Lover","Bad quality pages. though content is very good!.","29 December 2018","Book content is very good! Though Book page quality is very bad.
Scientific explanation for every Claim. Which made by book.","3.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1549822626-1001","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Ruchir Shah","Good read, there are some more things which I would have liked.","7 May 2018","Cal Newport makes a very strong case for how deep work should be incorporated.
But I would have liked the book even more if he would have delved deeper into the 'how' aspect along with the 'why'.
As far as writing is concerned, 'So Good They Can't Ignore You' is well written","4.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549822738-1074","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Aakanksha","Go for it","3 October 2017","Wonderful book...new insights..really an eye opener ..worth many reads ..happy","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1549822855-1165","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","praveen basireddy","Five Stars","19 May 2018","Great book to read","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
"1549822866-1187","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Sanjay Basumatary","Good, insightful of the social media!","13 August 2017","A good book for personal development. It provides an insight to tips and tricks of managing our daily life to get a focused mind. The books explains why deep work is important for achievements and fulfillment and also show the various reforms you can bring in your life to attain deep work. Some of things written may seem unreal but with firm resolution they can be implemented. A great emphasis is on social media and how it is affecting our society. Overall a nice book!","3.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1549822617-989","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Arshad Nihal","Must read for those who seek depth over shallowness","13 January 2018","A must read in this distracted world. Especially for knowledge workers. While going through this book itself i could see myself change my approach towards depth and shallowness. We are wasting a lot of time daily. Immersed in the artificial busyness camouflaging productivity we run our lives. This book stops you to rethink your life will equip you with enough tools to a deep productive career and by extension a focused life. Life is too small to be wasted in shallowness.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549822643-1020","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","AR","Pathetically","26 January 2019","Every thing in the book as plain common sense. No concrete examples, unnecessarily verbose and no tangible content in the book.","1.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549822887-1198","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Wonderful Book! It has changed my life","17 August 2016","Wonderful Book! It has changed my life. I have reduced my time spent on checking mails & alerts on my Blackberry drastically, and this allows me to do Deep, Meaningful work.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1549822730-1064","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","kushal bhuyan","Amazing books.","16 October 2018","This book is amazing and presents few ideas as how to carry out focused work avoiding distraction.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1549822668-1043","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Anupama","A book that gets you to realise the important of focus","7 October 2018","It is a book that gives you an insight into how changing a few habits and improving focus can yield the best results in life.
It involves a few practical tips to a healthy yet fulfilling life.
However, it could involve more techniques with lesser focus on the why.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1549822905-1232","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","samir bhalala","One Star","21 April 2016","Not interesting","1.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews"
"1549822989-1269","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Sharduldhakare","Five Stars","10 March 2018","This is the book u need the most Everytime ❤","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews"
"1549822767-1094","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","RAJESH REDDY CHINTA","Must read for those who are trying to find ways to improve focus on what they are doing.","29 June 2018","Essential reading to understand the importance of concentration and deep work in a world where the attention is highly fragmented.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1549822927-1251","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Raghavendra R.","Excellent Book - Read it","24 June 2016","Cal has very accurately identified the problem with keeping focus in today's distracting world, and given many methods to overcome them. The methods suggested by Cal are not only practical, but ""tempting"". The benefits of adopting the methods are immediate and already beginning to show in my work. Well done Cal.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews"
"1549822945-1255","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Meghashyam Chirravoori","Definitely worth a read","14 September 2017","This book can help you watch yourself and apply some amazing productivity hacks in your life. I surely took out at atleast 2 superb ideas to help me improve my quality of life.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews"
"1549822787-1132","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Digambar","Good one","8 August 2018","help to manage your DO s","3.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1549822866-1185","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","JoseJays","One has to read quiet a bit to reach the ...","15 July 2016","One has to read quiet a bit to reach the chapter ,(deep work!) to know tips for doing deep work. Initial chapters are full of why deep work, who all did deep work, how they did it etc.,, written in Malcom Gladwell's style, but leads to a bit of impatience!.

Good","3.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1549822617-991","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Tips for effectiveness in a distracted world of ""social networkism""","2 December 2018","First of all, a good read. Doing deep value work require an amount of quiet, discipline and routine that allows insights and ideas. Cal Newport gives practical suggestions and alternatives (to a large degree) on how to achieve them. I dare say that some of the material is rather inituitive for anyone with a top-notch education, but this is one of those books that put things together in a structured manner and logically argues why the techniques are effective.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
